Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,Ht,OD,bf,B,tw,tf,tnom,tdes,Ix,Iy,J
W,W8X40,W8X40,40,11.7,8.25,,,8.07,,0.36,0.56,,,146,49.1,1.12
W,W8X35,W8X35,35,10.3,8.12,,,8.02,,0.31,0.495,,,127,42.6,0.769
W,W8X31,W8X31,31,9.13,8,,,8,,0.285,0.435,,,110,37.1,0.536
W,W8X28,W8X28,28,8.25,8.06,,,6.54,,0.285,0.465,,,98,21.7,0.537
W,W8X24,W8X24,24,7.08,7.93,,,6.5,,0.245,0.4,,,82.7,18.3,0.346
W,W8X21,W8X21,21,6.16,8.28,,,5.27,,0.25,0.4,,,75.3,9.77,0.282
W,W8X18,W8X18,18,5.26,8.14,,,5.25,,0.23,0.33,,,61.9,7.97,0.172
W,W8X15,W8X15,15,4.44,8.11,,,4.02,,0.245,0.315,,,48,3.41,0.137
W,W8X13,W8X13,13,3.84,7.99,,,4,,0.23,0.255,,,39.6,2.73,0.0871
W,W8X10,W8X10,10,2.96,7.89,,,3.94,,0.17,0.205,,,30.8,2.09,0.0426
W,W6X25,W6X25,25,7.34,6.38,,,6.08,,0.32,0.455,,,53.4,17.1,0.461
W,W6X20,W6X20,20,5.87,6.2,,,6.02,,0.26,0.365,,,41.4,13.3,0.24
W,W6X15,W6X15,15,4.43,5.99,,,5.99,,0.23,0.26,,,29.1,9.32,0.101
W,W6X16,W6X16,16,4.74,6.28,,,4.03,,0.26,0.405,,,32.1,4.43,0.223
W,W6X12,W6X12,12,3.55,6.03,,,4,,0.23,0.28,,,22.1,2.99,0.0903
W,W6X9,W6X9,9,2.68,5.9,,,3.94,,0.17,0.215,,,16.4,2.2,0.0405
W,W6X8.5,W6X8.5,8.5,2.52,5.83,,,3.94,,0.17,0.195,,,14.9,1.99,0.0333
W,W5X19,W5X19,19,5.56,5.15,,,5.03,,0.27,0.43,,,26.3,9.13,0.316
